make;fuel_type;num_of_doors;body_style;n_of_cars;car
mazda;gas;two;hatchback;9;mazda gas two hatchback
mitsubishi;gas;two;hatchback;9;mitsubishi gas two hatchback
toyota;gas;two;hatchback;8;toyota gas two hatchback
honda;gas;two;hatchback;7;honda gas two hatchback
volvo;gas;four;sedan;7;volvo gas four sedan
toyota;gas;four;sedan;6;toyota gas four sedan
subaru;gas;four;sedan;5;subaru gas four sedan
toyota;gas;four;hatchback;5;toyota gas four hatchback
nissan;gas;four;sedan;5;nissan gas four sedan
bmw;gas;four;sedan;5;bmw gas four sedan
mazda;gas;four;sedan;5;mazda gas four sedan
mitsubishi;gas;four;sedan;4;mitsubishi gas four sedan
dodge;gas;two;hatchback;4;dodge gas two hatchback
honda;gas;four;sedan;4;honda gas four sedan
nissan;gas;two;hatchback;4;nissan gas two hatchback
peugot;gas;four;sedan;4;peugot gas four sedan
subaru;gas;four;wagon;4;subaru gas four wagon
toyota;gas;four;wagon;4;toyota gas four wagon
volkswagen;gas;four;sedan;4;volkswagen gas four sedan
subaru;gas;two;hatchback;3;subaru gas two hatchback
saab;gas;four;sedan;3;saab gas four sedan
saab;gas;two;hatchback;3;saab gas two hatchback
plymouth;gas;two;hatchback;3;plymouth gas two hatchback
nissan;gas;two;sedan;3;nissan gas two sedan
peugot;diesel;four;sedan;3;peugot diesel four sedan
nissan;gas;four;wagon;3;nissan gas four wagon
dodge;gas;four;sedan;3;dodge gas four sedan
bmw;gas;two;sedan;3;bmw gas two sedan
audi;gas;four;sedan;3;audi gas four sedan
volvo;gas;four;wagon;3;volvo gas four wagon
volkswagen;diesel;four;sedan;3;volkswagen diesel four sedan
toyota;gas;two;hardtop;3;toyota gas two hardtop
alfa-romero;gas;two;convertible;2;alfa-romero gas two convertible
chevrolet;gas;two;hatchback;2;chevrolet gas two hatchback
mazda;diesel;four;sedan;2;mazda diesel four sedan
mercedes-benz;gas;four;sedan;2;mercedes-benz gas four sedan
mercedes-benz;diesel;four;sedan;2;mercedes-benz diesel four sedan
isuzu;gas;four;sedan;2;isuzu gas four sedan
jaguar;gas;four;sedan;2;jaguar gas four sedan
peugot;diesel;four;wagon;2;peugot diesel four wagon
porsche;gas;two;hardtop;2;porsche gas two hardtop
porsche;gas;two;hatchback;2;porsche gas two hatchback
peugot;gas;four;wagon;2;peugot gas four wagon
plymouth;gas;four;sedan;2;plymouth gas four sedan
toyota;diesel;four;sedan;2;toyota diesel four sedan
toyota;gas;two;sedan;2;toyota gas two sedan
toyota;gas;two;convertible;1;toyota gas two convertible
volkswagen;gas;four;wagon;1;volkswagen gas four wagon
volkswagen;gas;two;convertible;1;volkswagen gas two convertible
volkswagen;gas;two;hatchback;1;volkswagen gas two hatchback
volkswagen;gas;two;sedan;1;volkswagen gas two sedan
volvo;diesel;four;sedan;1;volvo diesel four sedan
toyota;diesel;four;hatchback;1;toyota diesel four hatchback
plymouth;gas;four;wagon;1;plymouth gas four wagon
plymouth;gas;four;hatchback;1;plymouth gas four hatchback
porsche;gas;two;convertible;1;porsche gas two convertible
nissan;gas;two;hardtop;1;nissan gas two hardtop
nissan;diesel;two;sedan;1;nissan diesel two sedan
nissan;gas;four;hatchback;1;nissan gas four hatchback
jaguar;gas;two;sedan;1;jaguar gas two sedan
isuzu;gas;two;hatchback;1;isuzu gas two hatchback
isuzu;gas;two;sedan;1;isuzu gas two sedan
mercedes-benz;diesel;four;wagon;1;mercedes-benz diesel four wagon
mercedes-benz;diesel;two;hardtop;1;mercedes-benz diesel two hardtop
mercedes-benz;gas;two;convertible;1;mercedes-benz gas two convertible
mercedes-benz;gas;two;hardtop;1;mercedes-benz gas two hardtop
mercury;gas;two;hatchback;1;mercury gas two hatchback
mazda;gas;four;hatchback;1;mazda gas four hatchback
dodge;gas;four;hatchback;1;dodge gas four hatchback
dodge;gas;four;wagon;1;dodge gas four wagon
honda;gas;four;wagon;1;honda gas four wagon
honda;gas;two;sedan;1;honda gas two sedan
alfa-romero;gas;two;hatchback;1;alfa-romero gas two hatchback
chevrolet;gas;four;sedan;1;chevrolet gas four sedan
audi;gas;four;wagon;1;audi gas four wagon
audi;gas;two;hatchback;1;audi gas two hatchback
audi;gas;two;sedan;1;audi gas two sedan
volkswagen;diesel;two;sedan;1;volkswagen diesel two sedan
